"","title","subtitle","author_name","author_about","publisher","publisher_date","publisher_year","format","page_count","language","isbn_10","isbn_13","category","sub_category","average_rating","rating_number","price","features_text","dimensions","item_weight","weight_grams"
"100","Dark Liaison (An Ema Marx Novel)","Paperback – May 12, 2015","J.D. Brown","J.D. Brown is the 5x award-winning author of the Ema Marx series. A magnet for subcultures and weirdness, J.D. is that socially awkward girl with more fictional friends than real ones. Living with a medical condition called Muckel-Wells Syndrome, J.D. often finds comfort in books where strong women save the day and get the guy. An obsession with Charmed, Sabrina the Teenage Witch, and Buffy the Vampire Slayer lead J.D. to believe that her mutated genes make her something more, not something less. Thus her stubborn flare to persevere was born. A lover of fine cuisine, coffee, and shoes, J.D. never understood why shoe stores don't serve Starbucks and soufflé. She resides in Illinois where she writes urban fantasy - aka vampires for adults - and still talks to her two departed Pomeranians. Follow J.D. Brown on: Facebook.com/authorjdbrown Instagram.com/jdbrown_author TikTok.com/jdbrown.author Full List Of Books by J.D. Brown THE EMA MARX SERIES NOVELS: Dark Heirloom Dark Liaison Dark Becoming Dark Ascension Dark Heiress THE EMA MARX SERIES NOVELLAS: Athena's Oracle The Warrioress A Vampyre Christmas Carol THE DAUGHTER OF EVE SERIES: Never Save A Demon Never Trust A Demon Never Tempt A Demon Never Dare A Demon (TBA)","CreateSpace Independent Publishing Platform","2nd edition (May 12, 2015",2015,"Paperback",381,"English","1511839902","978-1511839907","Literature & Fiction","Genre Fiction",4.5,217,15.99,"Vampires. Shapeshifters. Zombies. | Ema Marx has her work cut out for her after accidentally unleashing the evilest creature in history. Their eminent battle has been foretold, but Ema must hone her powers if she's going to have a snowball's chance in hell of winning.Luckily, Ema meets an Elite trainer named Bridget, but in the vampire world people are rarely who they seem. In an attempt to save her new friends, Ema dives head first into an alliance with the Alpan King, but she may be giving up more than she bargained for.Feisty heroines, budding romances, and butt-kicking action abound in this second installment of the award-winning Ema Marx series by J.D. Brown. | Bonus: | This edition includes a bonus chapter 'Jesu's Peril'.“Even better than the first book!” One-click this page turner today. | NOW A COMPLETE SERIES: | DARK HEIRLOOM (Book One)DARK LIAISON (Book Two)DARK BECOMING (Book Three)DARK ASCENSION (Book Four)DARK HEIRESS (Book Five) | NOVELLAS: | ATHENA'S ORACLETHE WARRIORESSA VAMPYRE CHRISTMAS CAROL","5.5 x 0.79 x 8.5 inches","15.7 ounces",445.1
"101","The Rule of Four","Hardcover – May 11, 2004","Dustin Thomason","Discover more of the author’s books, see similar authors, read author blogs and more","The Dial Press","First Edition (May 11, 2004",2004,"Hardcover",373,"English","0385337116","978-0385337113","Mystery, Thriller & Suspense","Thrillers & Suspense",3.8,1838,13.24,"An ivy league murder, a mysterious coded manuscript, and the secrets of a Renaissance prince collide memorably in | The Rule of Four | —a brilliant work of fiction that weaves together suspense and scholarship, high art and unimaginable treachery.It's Easter at Princeton. Seniors are scrambling to finish their theses. And two students, Tom Sullivan and Paul Harris, are a hair's breadth from solving the mysteries of the Hypnerotomachia Poliphili—a renowned text attributed to an Italian nobleman, a work that has baffled scholars since its publication in 1499. For Tom, their research has been a link to his family's past—and an obstacle to the woman he loves. For Paul, it has become an obsession, the very reason for living. But as their deadline looms, research has stalled—until a long-lost diary surfaces with a vital clue. And when a fellow researcher is murdered just hours later, Tom and Paul realize that they are not the first to glimpse the Hypnerotomachia 's secrets. Suddenly the stakes are raised, and as the two friends sift through the codes and riddles at the heart of the text, they are beginnning to see the manuscript in a new light—not simply as a story of faith, eroticism and pedantry, but as a bizarre, coded mathematical maze. And as they come closer and closer to deciphering the final puzzle of a book that has shattered careers, friendships and families, they know that their own lives are in mortal danger. Because at least one person has been killed for knowing too much. And they know even more.From the streets of fifteenth-century Rome to the rarified realm of the Ivy League, from a shocking 500 year-old murder scene to the drama of a young man's coming of age, | The Rule of Four | takes us on an entertaining, illuminating tour of history—as it builds to a pinnacle of nearly unbearable suspense.","6.4 x 1.2 x 9.54 inches","1 pounds",453.6
"102","Couldn't Keep It to Myself: Wally Lamb and the Women of York Correctional Institution (Testimonies from our Imprisoned Sisters)","Paperback – Bargain Price, February 1, 2004","Wally Lamb","Wally Lamb's first two novels, She's Come Undone (Simon & Schuster/Pocket, 1992) and I Know This Much Is True (HarperCollins/ReganBooks, 1998), were # 1 New York Times bestsellers, New York Times Notable Books of the Year, and featured titles of Oprah's Book Club. I Know This Much Is True was a Book of the Month Club main selection and the June 1999 featured selection of the Bertelsman Book Club, the national book club of Germany. Between them, She's Come Undone and I Know This Much Is True have been translated into eighteen languages. Lamb is also the editor of the nonfiction anthologies Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters (HarperCollins/ReganBooks, 2003) and I'll Fly Away (HarperCollins, 2007), collections of autobiographical essays which evolved from a writing workshop Lamb facilitates at Connecticut's York Correctional Institute, a maximum-security prison for women. He has served as a Connecticut Department of Corrections volunteer from 1999 to the present. Wally Lamb is a Connecticut native who holds Bachelors and Masters Degrees in teaching from the University of Connecticut and a Master of Fine Arts in Writing from Vermont College. Lamb was in the ninth year of his twenty-five-year career as a high school English teacher at his alma mater, the Norwich Free Academy, when he began to write fiction in 1981. He has also taught writing at the University of Connecticut, where he directed the English Department's creative writing program. Wally Lamb has said of his fiction, “Although my characters' lives don't much resemble my own, what we share is that we are imperfect people seeking to become better people. I write fiction so that I can move beyond the boundaries and limitations of my own experiences and better understand the lives of others. That's also why I teach. As challenging as it sometimes is to balance the two vocations, writing and teaching are, for me, intertwined.” Honors for Wally Lamb include: the Connecticut Center for the Book's Lifetime Achievement Award, the Connecticut Bar Association's Distinguished Public Service Award, the Barnes & Noble Writers for Writers Award, the Connecticut Governor's Arts Award, The National Institute of Business/Apple Computers “Thanks to Teachers” Award. Lamb has received Distinguished Alumni awards from Vermont College and the University of Connecticut. He was the 1999 recipient of the New England Book Award for fiction. I Know This Much Is True won the Friends of the Library USA Readers' Choice Award for best novel of 1998, the result of a national poll, and the Kenneth Johnson Memorial Book Award, which honored the novel's contribution to the anti-stigmatization of mental illness. She's Come Undone was a 1992 “Top Ten” Book of the Year selection in People magazine and a finalist for the Los Angeles Times Book Award for Best First Novel of 1992. Wally Lamb's third novel, The Hour I First Believed, explores chaos theory by interfacing several generations of a fictional Connecticut family with such nonfictional American events as the Civil War, the Columbine High School shootings of 1999, the Iraq War, and Hurricane Katrina. The book will be published by HarperCollins in November of 2008.","Harper Perennial","February 1, 2004",2004,"Paperback",368,"English","","","Reference","Writing, Research & Publishing Guides",4.6,315,28.79,"In a stunning work of insight and hope, | New York Times | bestselling author Wally Lamb once again reveals his unmatched talent for finding humanity in the lost and lonely and celebrates the transforming power of the written word. | For several years, Lamb has taught writing to a group of women prisoners at York Correctional Institution in Connecticut. In this unforgettable collection, the women of York describe in their own words how they were imprisoned by abuse, rejection, and their own self-destructive impulses long before they entered the criminal justice system. Yet these are powerful stories of hope and healing, told by writers who have left victimhood behind. | In his moving introduction, Lamb describes the incredible journey of expression and self-awareness the women took through their writing and shares how they challenged him as a teacher and as a fellow author. | Couldn't Keep It to Myself | is a true testament to the process of finding oneself and working toward a better day.","6 x 0.92 x 9 inches","1.2 pounds",544.3
"103","Wong's Essentials of Pediatric Nursing - Binder Ready","11th Edition","Marilyn J. Hockenberry","Discover more of the author’s books, see similar authors, read author blogs and more","Mosby","11th edition (April 13, 2021",2021,"",NA,"English","0323797679","978-0323797672","New, Used & Rental Textbooks","Medicine & Health Sciences",4.5,228,71.09,"NEW! Next Generation NCLEX®-style case studies and questions are included in the text and on the companion Evolve website. | NEW! Next Generation NCLEX | ® | -style case studies and questions are included in the text and on the companion Evolve website. | NEW! Pediatric Quality Indicator boxes present a bigger picture of hospitals and how they look at quality and safety. | NEW! | Pediatric Quality Indicator | boxes | present a bigger picture of hospitals and how they look at quality and safety. | NEW! Applying Evidence to Practice boxes outline up-to-date procedures to reinforce best practices. | NEW! | Applying Evidence to Practice | boxes | outline up-to-date procedures to reinforce best practices. | NEW! Concept lists have been added to the beginning of chapters to aid programs using a concept-based curriculum. | NEW! Concept lists | have been added to the beginning of chapters to aid programs using a concept-based curriculum. | NEW! Separate chapter on cancer focuses on best-practices within this specialized area of pediatric care. | NEW! Separate chapter on cancer | focuses on best-practices within this specialized area of pediatric care. | NEW! Expanded information on the Zika virus ensures you are grounded in the latest evidence-based information. | NEW! Expanded information on the Zika virus | ensures you are grounded in the latest evidence-based information. | NEW! Updated genetics content keeps you up to date in this always evolving area of medicine. | NEW! Updated genetics content | keeps you up to date in this always evolving area of medicine. | NEW! Expanded content on the different roles in pediatric nursing reflect nursing responsibilities and the most common pediatric nursing subsets utilized in practice today. | NEW! Expanded content on the different roles in pediatric nursing | reflect nursing responsibilities and the most common pediatric nursing subsets utilized in practice today. | UPDATED! Content on autism spectrum disorders has been updated tokeep you in the know on the latest practice standards used in this rapidly expanding area of pediatric care. | UPDATED! Content on autism spectrum disorders | has been updated to | keep you in the know on the latest practice standards used in this rapidly expanding area of pediatric care. | NEW! Information on Narcan reinforces how to properly apply the injection. | NEW! Information on Narcan | reinforces how to properly apply the injection. | UPDATED! Translating Evidence into Practice boxes have been updated to focus attention on application of both research and critical thought processes to support and guide the outcomes of nursing care. | UPDATED! | Translating Evidence into Practice | boxes | have been updated to focus attention on application of both research and critical thought processes to support and guide the outcomes of nursing care.","","4.5 pounds",2041.2
"104","The Fixer Upper LP: A Novel","Paperback – Bargain Price, July 1, 2009","Mary Kay Andrews","MARY KAY ANDREWS is the New York Times bestselling author of 27 novels (including Hello, Summer; Sunset Beach; The High Tide Club; The Weekenders; Beach Town; Save the Date; Christmas Bliss; Ladies' Night; Spring Fever; and Summer Rental, all from St. Martin's Press, as well as Savannah Breeze; Blue Christmas; Hissy Fit; Little Bitty Lies; and Savannah Blues, all Harper Collins), and one cookbook, The Beach House Cookbook. A native of St. Petersburg, Florida, she earned a B.A. in journalism from The University of Georgia (go Dawgs!). After a 14-year career working as a reporter at newspapers including The Savannah Morning News, The Marietta Journal, and The Atlanta Journal-Constitution, where she spent the final ten years of her career, she left journalism in 1991 to write fiction. Her first novel, Every Crooked Nanny, was published in 1992 by HarperCollins. She went on to write ten critically acclaimed mysteries, including the Callahan Garrity mystery series, under her real name, Kathy Hogan Trocheck. In 2002, she assumed the pen name Mary Kay Andrews with the publication of Savannah Blues. In 2006, Hissy Fit became her first New York Times bestseller, followed by twelve more New York Times, USA Today and Publisher’s Weekly bestsellers. To date, her novels have been published in German, Italian, Polish, Slovenian, Hungarian, Dutch, Czech and Japanese. She and her family divide their time between Atlanta and Tybee Island, GA, where they cook up new recipes in two restored beach homes, The Breeze Inn and Ebbtide—both named after fictional places in Mary Kay’s novels, and both available to rent through Tybee Vacation Rentals. In between cooking, spoiling her grandkids, and plotting her next novel, Mary Kay is an intrepid treasure hunter whose favorite pastime is junking and fixing up old houses.","HarperLuxe","Lrg edition (July 1, 2009",2009,"Paperback",688,"English","","","Literature & Fiction","Women's Fiction",4.4,3662,72.57,"<p>After her boss in a high-powered Washington public relations firm is caught in a political scandal, fledgling lobbyist Dempsey Jo Killebrew is left almost broke, unemployed, and homeless. Out of options, she reluctantly accepts her father's offer to help refurbish Birdsong, the old family place he recently inher­ited in Guthrie, Georgia. </p> | <p>But, oh, is Dempsey in for a surprise when she arrives in Guthrie. ""Bird Droppings"" would more aptly describe the moldering Pepto Bismol-pink dump with duct-taped windows and a driveway full of junk. There's also a murderously grumpy old lady, one of Dempsey's distant relations, who has claimed squatter's rights and isn't moving out. Ever.</p> | <p>All Dempsey can do is roll up her sleeves and get to work. And before long, what started as a job of necessity somehow becomes a labor of love and, ultimately, a journey that takes her to a place she never expected&#8212;back home again.</p>","6 x 1.27 x 9 inches","1.8 pounds",816.5
"105","Body Surfing: A Novel","Hardcover – April 24, 2007","Anita Shreve","Anita Shreve grew up in Dedham, Massachusetts (just outside Boston), the eldest of three daughters. Early literary influences include having read Ethan Frome by Edith Wharton when she was a junior in high school (a short novel she still claims as one of her favorites) and everything Eugene O'Neill ever wrote while she was a senior (to which she attributes a somewhat dark streak in her own work). After graduating from Tufts University, she taught high school for a number of years in and around Boston. In the middle of her last year, she quit (something that, as a parent, she finds appalling now) to start writing. ""I had this panicky sensation that it was now or never."" Joking that she could wallpaper her bathroom with rejections from magazines for her short stories (""I really could have,"" she says), she published her early work in literary journals. One of these stories, ""Past the Island, Drifting,"" won an O. Henry prize. Despite this accolade, she quickly learned that one couldn't make a living writing short fiction. Switching to journalism, Shreve traveled to Nairobi, Kenya, where she lived for three years, working as a journalist for an African magazine. One of her novels, The Last Time They Met, contains bits and pieces from her time in Africa. Returning to the United States, Shreve was a writer and editor for a number of magazines in New York. Later, when she began her family, she turned to freelancing, publishing in the New York Times Magazine, New York magazine and dozens of others. In 1989, she published her first novel, Eden Close. Since then she has written 14 other novels, among them The Weight of Water, The Pilot's Wife, The Last Time They Met, A Wedding in December, Body Surfing, Testimony,and A Change in Altitude. In 1998, Shreve received the PEN/L. L. Winship Award and the New England Book Award for fiction. In 1999, she received a phone call from Oprah Winfrey, and The Pilot's Wife became the 25th selection of Oprah's Book Club and an international bestseller. In April 2002, CBS aired the film version of The Pilot's Wife, starring Christine Lahti, and in fall 2002, The Weight of Water, starring Elizabeth Hurley and Sean Penn, was released in movie theaters. Still in love with the novel form, Shreve writes only in that genre. ""The best analogy I can give to describe writing for me is daydreaming,"" she says. ""A certain amount of craft is brought to bear, but the experience feels very dreamlike."" Shreve is married to a man she met when she was 13. She has two children and three stepchildren, and in the last eight years has made tuition payments to seven colleges and universities.","Little, Brown and Company","First Edition (April 24, 2007",2007,"Hardcover",295,"English","0316059854","978-0316059855","Literature & Fiction","Genre Fiction",4.1,1054,6.84,"At the age of 29, Sydney has already been once divorced and once widowed. Trying to regain her footing once again, she has answered an ad to tutor the teenage daughter of a well-to-do couple as they spend a sultry summer in their oceanfront New Hampshire cottage.  But when the Edwards' two grown sons, Ben and Jeff, arrive at the beach house, Sydney finds herself caught up in a destructive web of old tensions and bitter divisions. As the brothers vie for her affections, the fragile existence Sydney has rebuilt for herself is threatened. With the subtle wit, lyrical language, and brilliant insight into the human heart that has led her to be called ""an author at one with her métier ( | Miami Herald | ), Shreve weaves a novel about marriage, family, and the supreme courage that it takes to love.","6.33 x 1 x 9.5 inches","1.2 pounds",544.3
"106","A Courtship on Huckleberry Hill (The Matchmakers of Huckleberry Hill)","Mass Market Paperback – December 26, 2017","Jennifer Beckstrand","Jennifer Beckstrand is the USA Today Bestselling author of The Matchmakers of Huckleberry Hill series, The Honeybee Sisters series, The Petersheim Brothers series, and The Amish Quiltmaker series for Kensington Books. Two of Jennifer’s books were nominated for the RWA RITA® Award, and she is a #1 Amazon bestselling author. Jennifer has written twenty-eight Amish romances and the nonfiction book, Big Ideas. She has also written two Western historical and two contemporary romances as Jen Spencer. She and her husband have been married for thirty-seven years, and she has six children and eight adorable grandchildren, whom she spoils rotten. http://www.jenniferbeckstrand.com/ https://www.facebook.com/jenniferbeckstrandfans Instagram: j.beckstrand","Zebra","December 26, 2017",2017,"",NA,"English","1420144138","978-1420144130","Christian Books & Bibles","Literature & Fiction",4.7,422,7.99,"There's nothing Huckleberry Hill, Wisconsin’s irrepressible eighty-somethings Anna and Felty Helmuth like better than a challenge. And the chance to matchmake their feisty granddaughter is their most delightful task yet… | Elsie Stutzman’s plain-spoken ways got her in trouble once before, so she needs to make a good impression at her new teaching job. But she's not about to let disabled student Wally Sensenig work below his potential. And she definitely won’t put up with his hot-headed older brother sabotaging her efforts, no matter how handsome he is. . .  Sam is nearly at the end of his rope caring for his ailing, widowed mother, working their farm, and raising his siblings. He'll admit Elsie’s ideas are bringing Wally out of his angry shell—but why does she have to be as stubborn as she is pretty? Yet as it turns out, Elsie has taught Sam something about himself as well. And he’ll do whatever it takes to make up for his mistakes—and win her heart forever. | Praise for Jennifer Beckstrand and her Matchmakers of Huckleberry Hill series | “Beckstrand continues to bring unexpected and heart-melting plotlines to this outstanding series.” | —RT Book Reviews | “Full of kind, sincere characters struggling with the best ways to stay true to themselves and their beliefs.” | —Publishers Weekly","4.2 x 1 x 6.8 inches","6.1 ounces",172.9
"107","Mate Fur Hire (Bears Fur Hire)","Paperback – Illustrated, November 28, 2015","T. S. Joyce","***Under Him, the third and final installment in T.S. Joyce's Wolves to Be short story series, is out now! 6/4/23**** ***What He Is Now, the second installment in T.S. Joyce's Wolves to Be short story series, is out now! 5/15/23**** ***His Curse to Give, the first installment in T.S. Joyce's Wolves to Be short story series is out now! 4/24/23**** ***Reach of Slaughter Mountain, the 3rd book in T. S. Joyce's highly anticipated new series, Bears of Slaughter Mountain, is available now - 4/1/23**** ***Defender of Slaughter Mountain, the 2nd book in T. S. Joyce's highly anticipated new series, Bears of Slaughter Mountain, is available now - 3/5/23**** ***War Bear of Piston, the 1st book in T. S. Joyce's highly anticipated new series, Bears of Slaughter Mountain, is available now - 2/11/23**** The entire monster-hit bestselling series, Wolves of Piston, is completed and available now (1) Zombie Wolf of Piston - 10/14/22 (2) Brother Wolf of Piston - 11/3/22 (3) Lone Wolf of Piston - 11/25/22 (holiday short) Holiday Flex - 12/13/22 (4) Traitor Wolf of Piston - 1/27/23 ***The entire completed, mega-hit, bestselling Wolves of Promise Falls series is available now - (The Fall of Promise, The Rise of Promise, The Blood of Promise, The Mercy of Promise, The Edge of Promise, The Keeper of Promise, The Break of Promise)*** ***The entire completed, monster-hit, bestselling Oath of Bane series is available now - (How It's Supposed to Be, How It Has to Be, How It's Meant to Be, How It Is, How It Will Be, How It Was, How It Started, and How It Needed to Be)*** ***Two Shots Down, Dead of Winter, Quickdraw Slow Burn, First Time Train Wreck, and Tuff Enough (the complete Battle of the Bulls series) is available now - 2/28**** ***The Official Reading List of T. S. Joyce is available now**** T.S. Joyce is a 118 time bestselling author devoted to bringing hot shifter romances to readers. Hungry alpha males are her calling card, and the wilder the men, the more she'll make them pour their hearts out. She lives in the PNW with a mysterious hunkyman, a make-shift family, a herd of awesome kiddos, plenty of farm animals, and devotes her life to writing big stories. Foodie, bear whisperer, chicken-momma, thief of tiny bottles of awesome smelling hotel shampoo, nap connoisseur, romantic comedy fanatic, bite-sized farmer, pig-momma, lover of books, and she's just getting started... Bear Shifters? Check Smoldering Alpha Hotness? Double Check Sexy Scenes? Fasten up your girdles, ladies and gents, it’s gonna to be a wild ride. For new releases, sneak peeks and exclusives, sign up for her shifter romance newsletter by copy/pasting the following link into your browser, then signing up. http://eepurl.com/bkkWTX","CreateSpace Independent Publishing Platform","November 28, 2015",2015,"Paperback",262,"English","153329268X","978-1533292681","Romance","Paranormal",4.7,2105,7.99,"**The full-length third book in T. S. Joyce’s new Bears Fur Hire series.** Vera Masterson has been called a lot of names through the years: witch, misfit, mad scientist. She’s let the rumors go because they kept her safe. But now she’s ready to leave the secluded island she was banished to, and she’ll need some big protection if she is going to escape the biggest rule of Perl Island: no misfit leaves. She has a plan, a burning desire for a better life, and her sights set on Tobias Silver, a dominant grizzly shifter, Alaskan bush pilot, and muscle-bound shifter enforcer. She doesn’t have much to bargain with, but she has the ability to make something he needs. And the second she lays eyes on the growly, sexy stranger, she’s pretty sure he has exactly what she needs too. Tobias Silver is flying to the notoriously dangerous Perl Island to talk to a misfit about a rumor he’s heard. Some say Vera Masterson can suppress shifter animals, and he’s headed into a brutal hibernation season desperate to cure his grizzly instincts. What he doesn’t expect is to meet a smart-mouthed enchantress who is determined to hire him as her mate. She’s hiding a mountain of secrets, and she’ll need more protection than he’s prepared for, but she could be the answer to all his hibernation problems. All that’s left to do now is keep carefully detached from his accidental mate, because falling for the secretive woman could spell disaster for them both. Content Warning: Explicit love scenes, naughty language, and piles of sexy shifter secrets. Intended for mature audiences.","5 x 0.66 x 8 inches","12.5 ounces",354.4
"108","China Room: A Novel","Paperback – July 12, 2022","Sunjeev Sahota","Discover more of the author’s books, see similar authors, read author blogs and more","Penguin Books","July 12, 2022",2022,"Paperback",256,"English","0593298225","978-0593298220","Literature & Fiction","Genre Fiction",4.1,2345,11.61,"LONGLISTED FOR THE 2021 BOOKER PRIZELONGLISTED FOR THE AMERICAN LIBRARY ASSOCIATION'S CARNEGIE MEDALNAMED A BEST BOOK OF 2021 BY NPR, | TIME | , AND THE | STAR-TRIBUNE | “Sunjeev Sahota's new novel follows characters across generations and continents...Heart-wrenching.” | — | Entertainment Weekly | “An intimate page-turner with a deeper resonance as a tale of oppression, independence and resilience.” | — | San Francisco Chronicle | A transfixing, ""powerfully imaged"" | (USA Today) | novel about two unforgettable characters seeking to free themselves—one from the expectations of women in early twentieth-century Punjab, and the other from the weight of life in the contemporary Indian diaspora | Mehar, a young bride in rural 1929 Punjab, is trying to discover the identity of her new husband. Married to three brothers in a single ceremony, she and her now-sisters spend their days hard at work in the family’s “china room,” sequestered from contact with the men—except when their domineering mother-in-law, Mai, summons them to a darkened chamber at night. Curious and strong willed, Mehar tries to piece together what Mai doesn’t want her to know. From beneath her veil, she studies the sounds of the men’s voices, the calluses on their fingers as she serves them tea. Soon she glimpses something that seems to confirm which of the brothers is her husband, and a series of events is set in motion that will put more than one life at risk. As the early stirrings of the Indian independence movement rise around her, Mehar must weigh her own desires against the reality—and danger—of her situation. Spiraling around Mehar’s story is that of a young man who arrives at his uncle’s house in Punjab in the summer of 1999, hoping to shake an addiction that has held him in its grip for more than two years. Growing up in small-town England as the son of an immigrant shopkeeper, his experiences of racism, violence, and estrangement from the culture of his birth led him to seek a dangerous form of escape. As he rides out his withdrawal at his family’s ancestral home—an abandoned farmstead, its china room mysteriously locked and barred—he begins to knit himself back together, gathering strength for the journey home. Partly inspired by award-winning author Sunjeev Sahota’s family history, | China Room | is both a deft exploration of how systems of power circumscribe individual lives and a deeply moving portrait of the unconquerable human capacity to resist them. At once sweeping and intimate, lush and propulsive, it | is a stunning achievement from a contemporary master.","5.1 x 0.68 x 7.8 inches","5.6 ounces",158.8
"109","Blackhorse Riders: A Desperate Last Stand, an Extraordinary Rescue Mission, and the Vietnam Battle America Forgot","Hardcover – Bargain Price, February 14, 2012","Philip A. Keith","Discover more of the author’s books, see similar authors, read author blogs and more","St. Martin's Press","February 14, 2012",2012,"Hardcover",352,"English","","","History","Military",4.6,400,23.19,"Winner of the 2012 USA Best Book Award for Military History | Philip Keith's | Blackhorse Riders | is the incredible true story of a brave military unit in Vietnam that risked everything to rescue an outnumbered troop under heavy fire—and the thirty-nine-year odyssey to recognize their bravery. | Deep in the jungles of Vietnam, Alpha Troop, 1st Squadron, 11th Armored Cavalry, the famed Blackhorse Regiment, was a specialized cavalry outfit equipped with tanks and armored assault vehicles. On the morning of March 26, 1970, they began hearing radio calls from an infantry unit four kilometers away that had stumbled into a hidden North Vietnamese Army stronghold. Outnumbered at least six to one, the ninety-man American company was quickly surrounded, pinned down, and fighting for its existence. Helicopters could not penetrate the dense jungle, and artillery and air support could not be targeted effectively. The company was fated to be worn down and eventually all killed or captured. | Overhearing the calls for help on his radio, Captain John Poindexter, Alpha Troop’s twenty-five-year-old commander, realized that his outfit was the only hope for the trapped company. It just might be possible that they could “bust” enough jungle by nightfall to reach them. Not making the attempt was deemed unacceptable, so he ordered his men to “saddle up.” With the courage and determination that makes legends out of ordinary men, they effected a daring rescue and fought a pitched battle—at considerable cost. Many brave deeds were done that day and Captain Poindexter tried to make sure his men were recognized for their actions. | Thirty years later Poindexter was made aware that his award recommendations and even the records of the battle had somehow gone missing. Thus began the second phase of this remarkable story: a “battle” to ensure that his brave men’s accomplishments would never be forgotten again. | The full circle was completed when President Obama stepped to the podium on October 20, 2009, to award the Alpha Troop with the Presidential Unit Citation: the highest combat award that can be given to a military unit.","6.47 x 1.36 x 9.43 inches","1.25 pounds",567
"110","We Are Not Friends (You Are Not Small)","Hardcover – Picture Book, May 1, 2019","Christopher Weyant","Christopher is a cartoonist and illustrator. His work can regularly be seen in The New Yorker. His cartoons are syndicated worldwide and have been featured on The Today Show, Meet the Press, and World News Tonight. Christopher likes to share everything but his personal space on the subway. Visit him online at christopherweyant.com.","Two Lions","Illustrated edition (May 1, 2019",2019,"Hardcover",40,"English","1542044286","978-1542044288","Children's Books","Growing Up & Facts of Life",4.3,2665,16.99,"A Goodreads Choice Award finalist. | Two fuzzy friends are having a fun playdate when a new pal hops in. As the day continues, each friend feels left out at times. It isn’t so easy to figure out how to act when everything seems to change. With humor and heart, the beloved characters from Theodor Seuss Geisel Award winner | You Are (Not) Small | navigate a friendship triangle as only they can.","9 x 1 x 11 inches","1.15 pounds",521.6
"111","The Heart of a Highlander (Highlander Vows- Entangled Hearts)","Paperback – November 16, 2019","Julie Johnstone","Julie Johnstone is a USA Today and #1 Amazon bestselling author. Scottish historical romance, Scottish historical time travel romance, and Regency historical romance featuring highlanders, aristocrats and modern-day billionaire bad boys are her love, and she enjoys creating both with a hefty dose of twists, plenty of heartstring tugs, and a guaranteed happily ever after. Her books have been dubbed ""fabulously entertaining and engaging,"" making readers cry, laugh, and swoon. Johnstone lives in Alabama with her two children - the heir and the spare, her snobby cat, and her perpetually happy dog. In her spare time she enjoys way too much coffee balanced by super hot yoga, reading, and traveling. Sign up for her newsletter here: http://bit.ly/33RCRFf","Independently published","November 16, 2019",2019,"Paperback",241,"English","1708755608","978-1708755607","Romance","Historical",4.5,598,12.99,"He finally has the chance to clear his family name. The only thing standing in his way is his tempting new wife. | Known as the King Maker, Ada MacQuerrie yearns to wed for love and not the magical gift she possesses. But her ruthless stepbrother doesn’t care what she wants; he just needs her to marry one of his treacherous allies. When an attempt to escape his control and save those she loves goes awry, Ada is forced to choose a husband from the miscreants who’ve come to align themselves with him. All seems lost until a compelling latecomer displays unexpected honor. But is the mysterious Highlander another treasonous Scot simply trying to seduce and manipulate her, or is the man they call Wolf the ally she’s been hoping for?William MacLean has spent years shouldering the shame of his father’s and brother’s alleged treason against the king. So when the chance to exonerate his family presents itself, he willingly woos an unwanted bride who has the power to topple his enemies. A seemingly simple plan. Except William has survived by keeping others at a distance, and his new wife is not the calculating enemy he expected but a bold, brave beauty he fears could become his greatest weakness.When passion flares between them, Ada cannot suppress the hope that her dreams could come true. Yet the closer she tries to get to William, the more he withdraws. It’s not until justice is within his grasp and his enemies take Ada from him that he realizes the demons dwelling within him can only be conquered by the light his wife offers. But is it too late to surrender his heart to the woman who already holds it? | *If you love romantic, page-turning books set in the mysterious, rugged Medieval Highlands that are about honorable, alpha Scottish warriors and the brave heroines who capture their hearts, then this is the perfect novel for you!* | Secrets, seduction, and romance sizzle in the Highlander Vows: Entangled Hearts novels from USA Today bestselling author Julie Johnstone.","5.5 x 0.61 x 8.5 inches","11 ounces",311.8
"112","Started Early, Took My Dog: A Novel","Audio CD – Unabridged, March 21, 2011","Kate Atkinson","Kate Atkinson is an international bestselling novelist, as well as playwright and short story writer. She is the author of Life After Life; Transcription; Behind the Scenes at the Museum, a Whitbread Book of the Year winner; the story collection Not the End of the World; and five novels in the Jackson Brodie crime series, which was adapted into the BBC TV show Case Histories.","Reagan Arthur Books","Unabridged edition (March 21, 2011",2011,"",NA,"English","1607886782","978-1607886785","Mystery, Thriller & Suspense","Mystery",4.2,6167,53.86,"Tracy Waterhouse leads a quiet, ordered life as a retired police detective -- a life that takes a surprising turn when she encounters Kelly Cross, a habitual offender, dragging a young child through town. Both appear miserable and better off without each other -- or so decides Tracy, in a snap decision that surprises herself as much as Kelly. Suddenly burdened with a small child, Tracy soon learns her parental inexperience is actually the least of her problems, as much larger ones loom for her and her young charge.  Meanwhile, Jackson Brodie, the beloved detective of novels such as | Case Histories | , is embarking on a different sort of rescue: that of an abused dog. Dog in tow, Jackson is about to learn, along with Tracy, that no good deed goes unpunished.","5.25 x 1.5 x 5.75 inches","9.6 ounces",272.2
